"","x","y","NDVI","month","year","site","cell","ID"
"1",NA,NA,NA,NA,NA,NA,NA,"NA_NA"
"2",478950,4073190,0.194029852747917,"08","2012","Grassy_Creek",49679823,"478950_4073190"
"3",478980,4073190,0.1875,"08","2012","Grassy_Creek",49679824,"478980_4073190"
"4",479010,4073190,0.174603179097176,"08","2012","Grassy_Creek",49679825,"479010_4073190"
"5",479040,4073190,0.174603179097176,"08","2012","Grassy_Creek",49679826,"479040_4073190"
"6",479070,4073190,0.15625,"08","2012","Grassy_Creek",49679827,"479070_4073190"
"7",478920,4073160,0.183098584413528,"08","2012","Grassy_Creek",49687943,"478920_4073160"
"8",478950,4073160,0.212121218442917,"08","2012","Grassy_Creek",49687944,"478950_4073160"
"9",478980,4073160,0.200000002980232,"08","2012","Grassy_Creek",49687945,"478980_4073160"
"10",479010,4073160,0.200000002980232,"08","2012","Grassy_Creek",49687946,"479010_4073160"
"11",479040,4073160,0.151515156030655,"08","2012","Grassy_Creek",49687947,"479040_4073160"
"12",479070,4073160,0.169230774044991,"08","2012","Grassy_Creek",49687948,"479070_4073160"
"13",479100,4073160,0.169230774044991,"08","2012","Grassy_Creek",49687949,"479100_4073160"
"14",478920,4073130,0.216216221451759,"08","2012","Grassy_Creek",49696064,"478920_4073130"
"15",478950,4073130,0.200000002980232,"08","2012","Grassy_Creek",49696065,"478950_4073130"
"16",478980,4073130,0.205882355570793,"08","2012","Grassy_Creek",49696066,"478980_4073130"
"17",479010,4073130,0.171428576111794,"08","2012","Grassy_Creek",49696067,"479010_4073130"
"18",479040,4073130,0.147058829665184,"08","2012","Grassy_Creek",49696068,"479040_4073130"
"19",479070,4073130,0.151515156030655,"08","2012","Grassy_Creek",49696069,"479070_4073130"
"20",479100,4073130,0.200000002980232,"08","2012","Grassy_Creek",49696070,"479100_4073130"
"21",479610,4073130,0.300000011920929,"08","2012","Grassy_Creek",49696087,"479610_4073130"
"22",479640,4073130,0.255319148302078,"08","2012","Grassy_Creek",49696088,"479640_4073130"
"23",478920,4073100,0.210526317358017,"08","2012","Grassy_Creek",49704185,"478920_4073100"
"24",478950,4073100,0.183098584413528,"08","2012","Grassy_Creek",49704186,"478950_4073100"
"25",478980,4073100,0.200000002980232,"08","2012","Grassy_Creek",49704187,"478980_4073100"
"26",479010,4073100,0.18840579688549,"08","2012","Grassy_Creek",49704188,"479010_4073100"
"27",479040,4073100,0.181818187236786,"08","2012","Grassy_Creek",49704189,"479040_4073100"
"28",479070,4073100,0.147058829665184,"08","2012","Grassy_Creek",49704190,"479070_4073100"
"29",479100,4073100,0.176470592617989,"08","2012","Grassy_Creek",49704191,"479100_4073100"
"30",479580,4073100,0.297872334718704,"08","2012","Grassy_Creek",49704207,"479580_4073100"
"31",479610,4073100,0.244897961616516,"08","2012","Grassy_Creek",49704208,"479610_4073100"
"32",479640,4073100,0.242105260491371,"08","2012","Grassy_Creek",49704209,"479640_4073100"
"33",479670,4073100,0.280898869037628,"08","2012","Grassy_Creek",49704210,"479670_4073100"
"34",478950,4073070,0.183098584413528,"08","2012","Grassy_Creek",49712307,"478950_4073070"
"35",478980,4073070,0.200000002980232,"08","2012","Grassy_Creek",49712308,"478980_4073070"
"36",479010,4073070,0.205882355570793,"08","2012","Grassy_Creek",49712309,"479010_4073070"
"37",479040,4073070,0.205882355570793,"08","2012","Grassy_Creek",49712310,"479040_4073070"
"38",479070,4073070,0.171428576111794,"08","2012","Grassy_Creek",49712311,"479070_4073070"
"39",479100,4073070,0.217391297221184,"08","2012","Grassy_Creek",49712312,"479100_4073070"
"40",479580,4073070,0.291666656732559,"08","2012","Grassy_Creek",49712328,"479580_4073070"
"41",479610,4073070,0.291666656732559,"08","2012","Grassy_Creek",49712329,"479610_4073070"
"42",479640,4073070,0.291666656732559,"08","2012","Grassy_Creek",49712330,"479640_4073070"
"43",479670,4073070,0.319587618112564,"08","2012","Grassy_Creek",49712331,"479670_4073070"
"44",479010,4073040,0.211267605423927,"08","2012","Grassy_Creek",49720430,"479010_4073040"
"45",479040,4073040,0.211267605423927,"08","2012","Grassy_Creek",49720431,"479040_4073040"
"46",479070,4073040,0.211267605423927,"08","2012","Grassy_Creek",49720432,"479070_4073040"
"47",479100,4073040,0.194444447755814,"08","2012","Grassy_Creek",49720433,"479100_4073040"
"48",479130,4073040,0.194444447755814,"08","2012","Grassy_Creek",49720434,"479130_4073040"
"49",479550,4073040,0.284210532903671,"08","2012","Grassy_Creek",49720448,"479550_4073040"
"50",479580,4073040,0.266666680574417,"08","2012","Grassy_Creek",49720449,"479580_4073040"
"51",479610,4073040,0.274725288152695,"08","2012","Grassy_Creek",49720450,"479610_4073040"
"52",479640,4073040,0.311827957630157,"08","2012","Grassy_Creek",49720451,"479640_4073040"
"53",479040,4073010,0.246753245592117,"08","2012","Grassy_Creek",49728552,"479040_4073010"
"54",479070,4073010,0.210526317358017,"08","2012","Grassy_Creek",49728553,"479070_4073010"
"55",479100,4073010,0.183098584413528,"08","2012","Grassy_Creek",49728554,"479100_4073010"
"56",479130,4073010,0.18840579688549,"08","2012","Grassy_Creek",49728555,"479130_4073010"
"57",479550,4073010,0.25,"08","2012","Grassy_Creek",49728569,"479550_4073010"
"58",479580,4073010,0.252747267484665,"08","2012","Grassy_Creek",49728570,"479580_4073010"
"59",479610,4073010,0.24731183052063,"08","2012","Grassy_Creek",49728571,"479610_4073010"
"60",479640,4073010,0.274725288152695,"08","2012","Grassy_Creek",49728572,"479640_4073010"
"61",479040,4072980,0.263157904148102,"08","2012","Grassy_Creek",49736673,"479040_4072980"
"62",479070,4072980,0.216216221451759,"08","2012","Grassy_Creek",49736674,"479070_4072980"
"63",479100,4072980,0.211267605423927,"08","2012","Grassy_Creek",49736675,"479100_4072980"
"64",479130,4072980,0.154929578304291,"08","2012","Grassy_Creek",49736676,"479130_4072980"
"65",479160,4072980,0.16666667163372,"08","2012","Grassy_Creek",49736677,"479160_4072980"
"66",479520,4072980,0.270833343267441,"08","2012","Grassy_Creek",49736689,"479520_4072980"
"67",479550,4072980,0.24731183052063,"08","2012","Grassy_Creek",49736690,"479550_4072980"
"68",479580,4072980,0.265306115150452,"08","2012","Grassy_Creek",49736691,"479580_4072980"
"69",479610,4072980,0.266055047512054,"08","2012","Grassy_Creek",49736692,"479610_4072980"
"70",479640,4072980,0.278350502252579,"08","2012","Grassy_Creek",49736693,"479640_4072980"
